groupid,badpostscount,goodpostscount
34230886,10548.230000000001,38676
48295646,812.63,831
62499196,101.08000000000001,110
77665430,42.56,37
80007407,105.07000000000001,3
94723978,0.0,0
94915972,0.0,0
102309843,2.66,9
106154153,602.49,1419
108355244,102.41000000000001,33
109120100,0.0,0
109387848,574.5600000000001,477
110036770,0.0,0
115747353,0.0,0
118999377,0.0,2
121935319,0.0,0
122537522,14.63,47
123007914,22.61,0
124741144,0.0,0
124943334,0.0,0
126424652,6.65,12
127095054,30.590000000000003,6
128086072,9.31,3
131939611,0.0,0
132901966,0.0,0
